日付,曜日,メイン,野菜,デザート,飲み物,栄養士
2025-04-01,火,食パン・手作りりんごジャム・鶏肉のトマト煮,温野菜サラダ,チーズ,牛乳,吉田真里奈
2025-04-02,水,シーフードピラフ,グリーンサラダ・オニオンスープ,白桃ゼリー,牛乳,吉田真里奈
2025-04-03,木,ちゃんぽん麺,揚げ餃子,杏仁豆腐,牛乳,吉田真里奈
2025-04-04,金,赤飯・エビフライ,紅白なます・お祝いすまし汁,お祝いショートケーキ,牛乳,吉田真里奈
2025-04-05,土,ご飯・鯖のゆず味噌焼き,春キャベツのお浸し・若竹汁,オレンジ,牛乳,吉田真里奈
2025-04-06,日,黒糖パン・マッシュルームのシチュー,アスパラガスのサラダ,りんご,牛乳,吉田真里奈
2025-04-07,月,たけのこご飯・だし巻き玉子,小松菜の胡麻和え・すまし汁,いちご,牛乳,吉田真里奈
2025-04-08,火,ご飯・肉じゃが（新じゃが）,ほうれん草のツナ和え,ヨーグルト,牛乳,吉田真里奈
2025-04-09,水,チキンカレー,福神漬け・フルーツポンチ,チーズ,牛乳,吉田真里奈
2025-04-10,木,きつねうどん,ちくわの磯辺揚げ・ゆかり和え,抹茶アイス風デザート,お茶,吉田真里奈
2025-04-11,金,ご飯・麻婆豆腐,バンサンスー,バナナ,牛乳,吉田真里奈
2025-04-12,土,丸パン・白身魚のフライ,ボイルキャベツ・ミネストローネ,キウイ,牛乳,吉田真里奈
2025-04-13,日,ご飯・豚肉の生姜焼き,ポテトサラダ・玉ねぎの味噌汁,みかん,牛乳,吉田真里奈
2025-04-14,月,山菜うどん,さつまいもの天ぷら・ごま塩和え,わらび餅,牛乳,吉田真里奈
2025-04-15,火,ご飯・鮭の塩麹焼き,切り干し大根の煮物・豚汁,オレンジ,牛乳,吉田真里奈
2025-04-16,水,焼きそば,大根サラダ,フルーツヨーグルト,牛乳,吉田真里奈
2025-04-17,木,ミートソーススパゲティ,フレンチサラダ,手作りチョコケーキ,牛乳,吉田真里奈
2025-04-18,金,黒豆パン・ポークチャップ,粉吹き芋・コーンスープ,りんご,牛乳,吉田真里奈
2025-04-19,土,ご飯・筑前煮,厚焼き玉子・すまし汁,ぶどうゼリー,牛乳,吉田真里奈
2025-04-20,日,麦ご飯・ハヤシライス,グリーンサラダ,クラッカー,牛乳,吉田真里奈
2025-04-21,月,ご飯・鯖のカレー焼き,もやしのナムル・中華スープ,バナナ,牛乳,吉田真里奈
2025-04-22,火,食パン・いちごジャム・スペイン風オムレツ,アスパラソテー・野菜スープ,グレープフルーツ,牛乳,吉田真里奈
2025-04-23,水,オムライス,コンソメスープ,スナックパイン,牛乳,吉田真里奈
2025-04-24,木,醤油ラーメン,揚げ餃子・中華風春雨サラダ,マンゴーゼリー,牛乳,吉田真里奈
2025-04-25,金,ご飯・ハンバーグ和風おろしソース,根菜汁,いちご,牛乳,吉田真里奈
2025-04-26,土,ご飯・八宝菜,大学芋,オレンジ,牛乳,吉田真里奈
2025-04-27,日,パン・クリームシチュー,ブロッコリーサラダ,りんご,牛乳,吉田真里奈
2025-04-28,月,ご飯・カツオのたたき風,豚汁,ももゼリー,牛乳,吉田真里奈
2025-04-29,火,ご飯・イカのチリソース炒め,中華スープ,みかん,牛乳,吉田真里奈
2025-04-30,水,ナポリタン,ガーリックトースト・シーザーサラダ,パンナコッタ,牛乳,吉田真里奈
2025-05-01,木,カニクリームコロッケ・パン,トマトスープ,フルーツタルト,牛乳,吉田真里奈
2025-05-02,金,ご飯・肉団子の甘酢煮,春雨サラダ,バナナ,牛乳,吉田真里奈
2025-05-03,土,ご飯・ししゃものから揚げ,豆腐の味噌汁・お浸し,キウイ,牛乳,吉田真里奈
2025-05-04,日,コッペパン・マカロニグラタン,フレンチサラダ,いちご,牛乳,吉田真里奈
2025-05-05,月,ピースご飯・ちくわの天ぷら,かき玉汁,柏餅,牛乳,吉田真里奈
2025-05-06,火,パン・アドボ,コールスローサラダ・カレースープ,ヨーグルト,牛乳,吉田真里奈
2025-05-07,水,カツ丼,ほうれん草としめじのお浸し・おすまし,いちごフルーチェ,牛乳,吉田真里奈
2025-05-08,木,塩ラーメン,春巻き・もやしのナムル,ごま団子,牛乳,吉田真里奈
2025-05-09,金,ご飯・鰹のオーロラソース,若竹煮・すまし汁,オレンジ,牛乳,吉田真里奈
2025-05-10,土,ご飯・豚キムチ,トックスープ,マスカットゼリー,牛乳,吉田真里奈
2025-05-11,日,クロワッサン・鮭のクリーム煮,温野菜サラダ,バナナ,牛乳,吉田真里奈
2025-05-12,月,ご飯・高野豆腐の卵とじ,えのきの味噌汁,りんご,牛乳,吉田真里奈
2025-05-13,火,タコライス,もずくスープ,パイナップル,牛乳,吉田真里奈
2025-05-14,水,カレーうどん,じゃこピーマン・小さめおにぎり,スイートポテト,牛乳,吉田真里奈
2025-05-15,木,シーフードドリア,トマトスープ,プリン,牛乳,吉田真里奈
2025-05-16,金,ご飯・鶏肉のレモン風味,キャベツのゆかり和え・味噌汁,みかん,牛乳,吉田真里奈
2025-05-17,土,パインパン・マカロニグラタン,アスパラサラダ,キウイ,牛乳,吉田真里奈
2025-05-18,日,ご飯・さんまの蒲焼き,里芋の味噌汁・磯香和え,ぶどうゼリー,牛乳,吉田真里奈
2025-05-19,月,ご飯・すき焼き風煮,小松菜のお浸し,りんごゼリー,牛乳,吉田真里奈
2025-05-20,火,ビビンバ,わかめと卵のスープ,いちご,牛乳,吉田真里奈
2025-05-21,水,チキン南蛮・ご飯,パプリカのマリネ・コンソメスープ,日向夏,牛乳,吉田真里奈
2025-05-22,木,カルボナーラ,トマトサラダ・野菜スープ,ヨーグルトパフェ,牛乳,吉田真里奈
2025-05-23,金,ご飯・アジの南蛮漬け,すまし汁・ごま和え,バナナ,牛乳,吉田真里奈
2025-05-24,土,レーズンパン・鶏肉のマスタード焼き,人参サラダ・オニオンスープ,オレンジ,牛乳,吉田真里奈
2025-05-25,日,鶏ごぼうご飯・さわらの竜田揚げ,お浸し・味噌汁,りんご,牛乳,吉田真里奈
2025-05-26,月,ご飯・厚揚げの生姜焼き,味噌汁・キャベツのツナ和え,いよかん,牛乳,吉田真里奈
2025-05-27,火,パン・チキンシチュー,ウインナーとコーンのソテー,いちご,牛乳,吉田真里奈
2025-05-28,水,キーマカレー・ナン,チーズサラダ,フルーツポンチ,牛乳,吉田真里奈
2025-05-29,木,ちゃんぽん麺,シュウマイ・青梗菜のナムル,抹茶プリン,牛乳,吉田真里奈
2025-05-30,金,ご飯・豚肉の塩麹焼き,五目きんぴら・大根の味噌汁,キウイ,牛乳,吉田真里奈
2025-05-31,土,きなこ揚げパン・ミネストローネ,コーンサラダ,バナナ,牛乳,吉田真里奈
2025-06-01,日,ご飯・親子煮,青菜の胡麻和え・じゃがいもの味噌汁,みかん,牛乳,吉田真里奈
2025-06-02,月,ご飯・鱈の甘酢あんかけ,中華スープ・春雨サラダ,オレンジ,牛乳,吉田真里奈
2025-06-03,火,豚骨ラーメン,鶏キムチ炒め,杏仁豆腐,牛乳,吉田真里奈
2025-06-04,水,ガーリックライス・牛肉のステーキ風,オニオンスープ・ほうれん草ソテー,いちごショートケーキ,牛乳,吉田真里奈
2025-06-05,木,オムそば,大根サラダ・わかめスープ,ヨーグルトパフェ,牛乳,吉田真里奈
2025-06-06,金,パン・水なすとベーコンのスパゲティ,ツナサラダ,パイナップル,牛乳,吉田真里奈
2025-06-07,土,ご飯・鯖の香味ソースかけ,小松菜と油揚げのおひたし・豚汁,キウイ,牛乳,吉田真里奈
2025-06-08,日,ご飯・五目うどん,夏野菜のかきあげ,白玉あずき,牛乳,吉田真里奈
